tags: darakwon 12-과

[sound:계절.mp3]	계절<p class="small">(봄 &lt; 여름 &lt; 가을 &lt; 겨울)</p>	saison<p class="small">(printemps &lt; été &lt; automne &lt; hiver)</p>
[sound:흐려요.mp3]	흐<span class="불규칙">려</span>요<p class="small">(흐<span class="불규칙">리어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">흐리다</div></div><div class="bloc"><div class="현재">흐려요</div><div class="과거">흐렸어요</div><div class="미래">흐릴 거예요</div></div><div class="bloc"><div class="연결">흐리고</div><div class="연결">흐리지만</div><div class="연결">흐린데</div><div class="연결">흐리면</div></div></div>	il est nuageux<p class="small">(météo)</p><hr/>il est flou, impur<p class="small">(fluide : air, eau, &hellip;)</p><hr/>il est confus<p class="small">(état d'esprit)</p>
[sound:흐렸어요.mp3]	흐<span class="불규칙">렸</span>어요<p class="small">(흐<span class="불규칙">리었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">흐리다</div></div><div class="bloc"><div class="현재">흐려요</div><div class="과거">흐렸어요</div><div class="미래">흐릴 거예요</div></div><div class="bloc"><div class="연결">흐리고</div><div class="연결">흐리지만</div><div class="연결">흐린데</div><div class="연결">흐리면</div></div></div>	il était nuageux<p class="small">(météo)</p><hr/>il était flou, impur<p class="small">(fluide : air, eau, &hellip;)</p><hr/>il était confus<p class="small">(état d'esprit)</p>
[sound:흐릴_거예요.mp3]	흐릴 거예요<div class="활용"><div class="bloc"><div class="부정사">흐리다</div></div><div class="bloc"><div class="현재">흐려요</div><div class="과거">흐렸어요</div><div class="미래">흐릴 거예요</div></div><div class="bloc"><div class="연결">흐리고</div><div class="연결">흐리지만</div><div class="연결">흐린데</div><div class="연결">흐리면</div></div></div>	il sera nuageux<p class="small">(météo)</p><hr/>il sera flou, impur<p class="small">(fluide : air, eau, &hellip;)</p><hr/>il sera confus<p class="small">(état d'esprit)</p>

[sound:나쁘다.mp3]	나쁘다	être mauvais
[sound:나빠요.mp3]	나<span class="불규칙">빠</span>요<p class="small">(나<span class="불규칙">ㅃ+아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">나쁘다</div><div class="불규칙">(“ㅡ” 불규칙)</div></div><div class="bloc"><div class="현재">나빠요</div><div class="과거">나빴어요</div><div class="미래">나쁠 거예요</div></div><div class="bloc"><div class="연결">나쁘고</div><div class="연결">나쁘지만</div><div class="연결">나쁜데</div><div class="연결">나쁘면</div></div></div>	il est mauvais
[sound:나빴어요.mp3]	나<span class="불규칙">빴</span>어요<p class="small">(나<span class="불규칙">ㅃ+았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">나쁘다</div><div class="불규칙">(“ㅡ” 불규칙)</div></div><div class="bloc"><div class="현재">나빠요</div><div class="과거">나빴어요</div><div class="미래">나쁠 거예요</div></div><div class="bloc"><div class="연결">나쁘고</div><div class="연결">나쁘지만</div><div class="연결">나쁜데</div><div class="연결">나쁘면</div></div></div>	il était mauvais
[sound:나쁠_거예요.mp3]	나쁠 거예요<div class="활용"><div class="bloc"><div class="부정사">나쁘다</div><div class="불규칙">(“ㅡ” 불규칙)</div></div><div class="bloc"><div class="현재">나빠요</div><div class="과거">나빴어요</div><div class="미래">나쁠 거예요</div></div><div class="bloc"><div class="연결">나쁘고</div><div class="연결">나쁘지만</div><div class="연결">나쁜데</div><div class="연결">나쁘면</div></div></div>	il sera mauvais

[sound:여행.mp3]	여행	voyage
[sound:여행하다.mp3]	여행하다	voyager
[sound:여행해요.mp3]	여행해요<div class="활용"><div class="bloc"><div class="부정사">여행하다</div></div><div class="bloc"><div class="현재">여행해요</div><div class="과거">여행했어요</div><div class="미래">여행할 거예요</div></div><div class="bloc"><div class="연결">여행하고</div><div class="연결">여행하지만</div><div class="연결">여행하는데</div><div class="연결">여행하면</div></div></div>	il voyage
[sound:여행했어요.mp3]	여행했어요<div class="활용"><div class="bloc"><div class="부정사">여행하다</div></div><div class="bloc"><div class="현재">여행해요</div><div class="과거">여행했어요</div><div class="미래">여행할 거예요</div></div><div class="bloc"><div class="연결">여행하고</div><div class="연결">여행하지만</div><div class="연결">여행하는데</div><div class="연결">여행하면</div></div></div>	il voyageait
[sound:여행할_거예요.mp3]	여행할 거예요<div class="활용"><div class="bloc"><div class="부정사">여행하다</div></div><div class="bloc"><div class="현재">여행해요</div><div class="과거">여행했어요</div><div class="미래">여행할 거예요</div></div><div class="bloc"><div class="연결">여행하고</div><div class="연결">여행하지만</div><div class="연결">여행하는데</div><div class="연결">여행하면</div></div></div>	il voyagera


[sound:날씨.mp3]	날씨	temps<p class="small">(météo)</p>
[sound:날씨가_어때요.mp3]	날씨가 어때요?	quel temps fait-il ?<p class="small">(météo, litt. “comment est le temps ?”)</p>

[sound:날씨가_좋다.mp3]	날씨가 좋다	faire beau<p class="small">(météo, litt. “le temps est beau”)</p>
[sound:날씨가_좋아요.mp3]	날씨가 좋아요<div class="활용"><div class="bloc"><div class="부정사">좋다</div></div><div class="bloc"><div class="현재">좋아요</div><div class="과거">좋았어요</div><div class="미래">좋을 거예요</div></div><div class="bloc"><div class="연결">좋고</div><div class="연결">좋지만</div><div class="연결">좋은데</div><div class="연결">좋으면</div></div></div>	il fait beau<p class="small">(météo, litt. “le temps est beau”)</p>

[sound:날씨가_나쁘다.mp3]	날씨가 나쁘다	faire mauvais<p class="small">(météo, litt. “le temps est mauvais”)</p>
[sound:날씨가_나빠요.mp3]	날씨가 나빠요<div class="활용"><div class="bloc"><div class="부정사">나쁘다</div></div><div class="bloc"><div class="현재">나빠요</div><div class="과거">나빴어요</div><div class="미래">나쁠 거예요</div></div><div class="bloc"><div class="연결">나쁘고</div><div class="연결">나쁘지만</div><div class="연결">나쁜데</div><div class="연결">나쁘면</div></div></div>	il fait mauvais<p class="small">(météo, litt. “le temps est mauvais”)</p>

[sound:날씨가_덥다.mp3]	날씨가 덥다	faire chaud<p class="small">(météo, litt. “le temps est chaud”)</p>
[sound:날씨가_더워요.mp3]	날씨가 더워요<div class="활용"><div class="bloc"><div class="부정사">덥다</div></div><div class="bloc"><div class="현재">더워요</div><div class="과거">더웠어요</div><div class="미래">더울 거예요</div></div><div class="bloc"><div class="연결">덥고</div><div class="연결">덥지만</div><div class="연결">더운데</div><div class="연결">더우면</div></div></div>	il fait chaud<p class="small">(météo, litt. “le temps est chaud”)</p>

[sound:날씨가_춥다.mp3]	날씨가 춥다	faire froid<p class="small">(météo, litt. “le temps est froid”)</p>
[sound:날씨가_추워요.mp3]	날씨가 추워요<div class="활용"><div class="bloc"><div class="부정사">춥다</div></div><div class="bloc"><div class="현재">추워요</div><div class="과거">추웠어요</div><div class="미래">추울 거예요</div></div><div class="bloc"><div class="연결">춥고</div><div class="연결">춥지만</div><div class="연결">추운데</div><div class="연결">추우면</div></div></div>	il fait froid<p class="small">(météo, litt. “le temps est froid”)</p>

[sound:날씨가_따뜻하다.mp3]	날씨가 따뜻하다	faire doux<p class="small">(météo, litt. “le temps est doux”)</p>
[sound:날씨가_따뜻해요.mp3]	날씨가 따뜻해요<div class="활용"><div class="bloc"><div class="부정사">따뜻하다</div></div><div class="bloc"><div class="현재">따뜻해요</div><div class="과거">따뜻했어요</div><div class="미래">따뜻할 거예요</div></div><div class="bloc"><div class="연결">따뜻하고</div><div class="연결">따뜻하지만</div><div class="연결">따뜻한데</div><div class="연결">따뜻하면</div></div></div>	il fait doux<p class="small">(météo, litt. “le temps est doux”)</p>

[sound:날씨가_시원하다.mp3]	날씨가 시원하다	faire frais<p class="small">(météo, litt. “le temps est frais”)</p>
[sound:날씨가_시원해요.mp3]	날씨가 시원해요<div class="활용"><div class="bloc"><div class="부정사">시원하다</div></div><div class="bloc"><div class="현재">시원해요</div><div class="과거">시원했어요</div><div class="미래">시원할 거예요</div></div><div class="bloc"><div class="연결">시원하고</div><div class="연결">시원하지만</div><div class="연결">시원한데</div><div class="연결">시원하면</div></div></div>	il fait frais<p class="small">(météo, litt. “le temps est frais”)</p>

[sound:날씨가_흐리다.mp3]	날씨가 흐리다	être nuageux<p class="small">(météo, litt. “le temps est nuageux”)</p>
